"year","n_stations","n_samples"
1898,1,95
1899,1,95
1900,3,500
1901,9,25526
1902,9,25526
1903,9,25526
1904,9,25526
1905,10,25857
1906,11,26345
1907,12,28188
1908,15,33158
1909,17,50228
1910,18,51419
1911,18,51419
1912,18,51419
1913,18,51419
1914,18,51419
1915,18,51419
1916,18,51419
1917,18,51419
1918,20,52124
1919,23,57094
1920,23,57094
1921,23,57094
1922,23,57094
1923,23,57094
1924,23,57094
1925,24,59650
1926,24,59650
1927,24,59650
1928,26,70208
1929,27,70419
1930,35,77752
1931,35,77752
1932,35,77752
1933,36,79152
1934,55,112059
1935,61,122803
1936,62,124816
1937,64,131020
1938,112,147457
1939,115,139484
1940,142,144528
1941,148,176735
1942,155,182554
1943,163,213281
1944,201,273201
1945,215,309279
1946,242,436090
1947,271,535438
1948,313,674639
1949,351,749172
1950,386,855630
1951,397,957782
1952,408,1037223
1953,423,1057038
1954,425,1096480
1955,458,1215702
1956,477,1359141
1957,528,1445791
1958,602,1507640
1959,642,1601615
1960,694,1648842
1961,767,1695198
1962,819,1777630
1963,876,1804590
1964,1017,1911122
1965,1097,2000789
1966,1108,2032574
1967,1294,2132508
1968,1356,2170171
1969,1421,2238870
1970,1537,2241523
1971,1669,2304058
1972,1892,2372111
1973,1976,2449687
1974,2281,2573955
1975,2776,2727467
1976,3299,2830914
1977,3681,2918759
1978,5014,2991000
1979,6437,3041898
1980,7588,3069331
1981,6298,3081275
1982,4621,2972376
1983,5123,3008275
1984,4592,2976670
1985,4431,3008126
1986,3985,3010012
1987,3906,2955309
1988,3865,2933613
1989,3637,2943300
1990,3841,2923791
1991,4025,2920479
1992,4006,2939481
1993,3794,2895917
1994,4346,2816592
1995,3752,2793571
1996,3670,2742969
1997,4084,2714181
1998,3919,2652214
1999,3676,2581004
2000,3911,2550099
2001,3658,2458770
2002,3225,2412121
2003,2905,2365153
2004,2825,2328611
2005,2378,2231938
2006,2260,2217330
2007,2327,2211120
2008,2265,2176532
2009,2069,2116961
2010,1917,2107673
2011,1812,2039608
2012,1812,1972071
2013,1797,1969017
2014,1764,1940588
2015,1722,1900520
2016,1603,1858115
2017,1448,1786566
2018,1282,1722194
2019,1240,1691830
2020,1180,1684003
2021,1214,1608844
2022,1131,1464603
2023,1006,1415191
